,REGNO
913,23DU1830029
148,23DU1830030
1321,23DU1830031
931,23DU1840003
370,23DU1840005
1909,23DU1840008
394,23DU1840012
1910,23DU1840014
245,23DU1840017
273,23EU00610110
281,23EU0610004
776,23EU0610006
1459,23EU0610007
2032,23EU0610008
2259,23EU0610019
1614,23EU0610022
1938,23EU0610023
1937,23EU0610027
1484,23EU0610032
1348,23EU0610035
116,23EU0610036
167,23EU0610039
2307,23eu0610044
611,23EU0610044
536,23EU0610047
1932,23EU0610049
2189,23EU0610050
2198,23EU0610053
957,23EU0610057
1854,23EU0610060
1560,23EU0610065
1488,23EU0610067
1803,23eu0610072
1897,23EU0610073
1485,23EU0610074
1934,23EU0610080
1522,23EU0610084
2253,23EU0610086
586,23EU0610087
971,23EU0610089
2305,23EU0610092
854,23EU0610093
1486,23EU0610099
985,23EU0610103
2217,23EU0610104
974,23EU0610109
2053,23eu0610116
600,23EU0610118
187,23EU0610119
1482,23EU0610124
851,23EU0610128
272,23EU0610131
864,23EU0610133
186,23EU0610135
857,23EU0610137
1936,23EU0610138
1850,23EU0610139
1562,23EU0610147
1870,23EU0610148
1939,23EU0610150
987,23EU0610152
1533,23EU0610153
94,23EU0630001
1606,23EU0630002
1735,23EU0630003
1620,23EU0630005
1613,23EU0630010
1610,23EU0630012
1460,23EU0630013
1462,23EU0630014
1639,23GI1510002
1337,23GP1550003
474,23HU2410001
1144,23HU2410002
1329,23HU2410004
1101,23HU2410005
339,23HU2410006
1081,23HU2410009
1532,23HU2410011
423,23HU2410012
415,23HU2420005
157,23HU242007
1895,23LU2710006
1989,23LU2710009
333,23LU2710010
1894,23LU2710012
330,23lu2710016
1898,23LU2710025
2054,23LU2720001
2051,23LU2720005
2106,23LU2720007
1988,23lu2720009
1896,23LU2720009
395,23LU2720016
1117,23LU2720017
2049,23LU2720020
1644,23LU2720023
1923,23LU2720025
1078,23LU2720026
2135,23lu2720030
1751,23LU2720036
2222,23lu2720040
1642,23LU2720040
1706,23LU2730005
849,23LU2730010
1566,23LU2730014
1568,23LU2730016
1920,23LU2730022
1027,23LU2730033
1025,23LU2730038
1825,23LU2730040
311,23lu2730043
2034,23LU2730051
2023,23LU2730053
848,23LU2730070
1145,23MU0910009
312,23MU0910013
607,23MU0910014
12,23MU0910021
1268,23MU0910027
812,23MU0910029
1846,23MU0910031
623,23MU0950003
127,23MU0950004
267,23MU0950008
620,23MU0950012
133,23MU0950014
192,23MU0950015
125,23MU0950018
177,23MU0950023
210,23MU0950024
1,23MU0950026
1743,23MU0950029
2048,23MU0950031
676,23MU0950033
419,23MU0950035
624,23MU0950037
821,23MU0950038
30,23MU0950039
2177,23mu0950041
1131,23MU0960007
1075,23MU0960008
1845,23MU0960015
2067,23MU0970007
439,23MU0970027
1784,23MU0970041
38,23MU0970047
1252,23MU0970049
1921,23PU3010002
673,23SI2110001
672,23SI2110002
740,23Si2110003
2182,23SI2110003
741,23SP2110003
743,23SP2110008
1692,23SP2130002
734,23SP2130003
1664,23SP2130004
1868,23SP2130006
1123,23SP2130010
739,23SP2130011
2152,23sp2130012
732,23SP2130012
1663,23SP2130013
1555,23SP2130014
2100,23SP2130017
1125,23SP2130019
1651,23SP2130020
1691,23SP2130022
1839,23SP2130025
1665,23SP2130026
1816,23SP2130027
1649,23SP2130028
1172,23SP2130029
2151,23SP2130030
1682,23SP2130032
1685,23SP2130034
1320,23SP2130035
1319,23SP2130037
2075,23sp2130038
766,23SP2130041
1875,23SP2130044
308,23SP2130046
1874,23SP2130048
2149,23SP2130050
1815,23SP2130052
1241,23SP2130054
1770,23SP2130056
1171,23SP2130057
770,23SP2130058
1695,23SP2130060
398,23SU1
418,23SU1510001
1771,23SU1510005
1334,23SU1510011
1851,23SU1510014
2090,23SU1510016
431,23SU1510024
39,23SU1510032
688,23SU1510034
686,23SU1510035
2092,23SU1510038
1987,23SU1520004
543,23SU1520008
72,23SU1530003
227,23SU1530004
2251,23SU1530006
10,23SU1530008
410,23SU1530009
2221,23su1530010
1643,23SU1530010
2310,23su1530014
1985,23SU1530018
2309,23SU1530022
7,23SU1530023
1881,23SU1530025
336,23SU1530026
2021,23SU1530027
1174,23SU1530028
397,23SU1530029
2252,23su1530030
2022,23SU1530032
1342,23SU1530040
1755,23SU1530042
1478,23SU1540002
1477,23SU1540005
1479,23SU1540006
6,23SU1540012
1837,23SU1540016
1640,23SU1540018
1645,23SU154001823SU154001823SU1540018
1638,23SU1560001
430,23SU1580002
1983,23SU1580005
539,23SU1580006
764,23SU1580008
313,23SU2110002
1257,23SU2110003
304,23SU2110004
316,23SU2110006
309,23SU2110008
40,23SU2120010
1534,23SU2130016
2215,23su2140002
724,23SU2140004
668,23SU2140011
1198,23SU2140015
2052,23SU2140018
357,23SU2140022
548,23SU2140026
2010,23SU2140031
2265,23SU2200002
2268,23SU2200003
1795,23SU2200006
2141,23su2200009
1069,23SU2200010
1041,23SU2200012
2140,23SU2200013
1306,23SU2200014
2142,23SU2200015
2236,23SU2200016
2237,23SU2200021
728,23SU2200022
1214,23SU2200029
1883,23SU2200032
237,23SU2200033
2035,23SU2200038
2263,23su2200044
145,23SU2200047
718,23SU2200050
2143,23SU2200053
180,23SU2200057
1796,23SU2200058
2267,23su2200059
866,23SU2200059
2144,23SU2200060
2139,23SU2200061
730,23SU2200062
2266,23SU2200064
1480,23SU2200067
1072,23SU2200069
1885,23SU2200071
2264,23su2200072
722,23SU2200073
1316,23SU2200074
1213,23SU2200075
1986,23SU2200076
1071,23SU2200079
1324,23SU2200082
2016,23SU2200088
1884,23SU2210003
983,23SU2210005
2044,23SU2240005
1584,23SU2240007
2201,23su2240009
2046,23SU2240012
2045,23SU2240013
150,23SU2320002
2286,23SU2330002
170,23SU2330003
119,23SU2330004
1669,23SU2330005
1545,23SU2330006
2083,23SU2330010
2085,23SU2330014
1119,23SU2330015
2284,23SU2330020
1120,23SU2330021
1387,23SU2330024
175,23SU2330025
2287,23SU2330030
1673,23SU2330034
2285,23SU2330035
1543,23SU2330041
521,23SU2330046
2169,23SU2330049
2291,23SU2330053
976,23SU2330054
2283,23SU2330055
1668,23SU2330061
2064,23su2330062
1276,23SU2340005
874,23SU2340010
1392,23SU2340011
1582,23SU2340013
1393,23SU2340015
1493,23SU2340017
1061,23SU2340020
1395,23SU2340023
1641,23SU2340024
1390,23SU2340025
1374,23SU2340026
2111,23su2340029
1391,23SU2340029
1693,23SU2340030
1369,23SU2340031
1797,23SU2350011
2180,23SU2350019
428,23SU2350032
2101,23su2350033
2063,23SU2350033
1844,23SU2350039
426,23SU2350046
32,23SU2350051
1191,23SU2350063
1997,23su2360009
2056,23su2360010
844,23SU2360010
2081,23SU2360018
2207,23SU2360019
1623,23SU2360048
2210,23SU2360054
1807,23SU2360055
2248,23SU2360067
2208,23SU2360071
1518,23SU2360074
1501,23SU2360089
841,23SU2360104
2066,23SU2360105
2129,23SU2360106
1782,23SU2360109
466,23SU2360110
2209,23su2360114
1598,23SU2360114
1047,23SU2360121
1466,23SU2360129
1635,23SU2360132
1888,23SU2360136
1773,23SU2360137
839,23SU2360149
1461,23SU2360157
1251,23SU2360161
1448,23SU2360165
1230,23SU2360168
1597,23SU2360172
1941,23SU2360176
1233,23SU2360179
697,23SU2360182
1385,23SU2360186
1029,23SU2370002
279,23su2370003
2186,23su2370007
701,23SU2370007
2109,23SU2370009
2113,23su2370011
1848,23SU2370011
1630,23SU2370017
1231,23SU2370023
1377,23SU2370025
1495,23SU2370026
369,23SU2370029
699,23SU2370030
